hneurons,sigma1,sigma2,sigma3,sigma4,sigma5,sigma6,sigma7,sigma8,sigma9,sigma10
5,0.0317479638380464,0.174373654334187,0.0317455225012141,0.0317393075181826,0.174373654334187,0.0291756151906175,0.174373654334187,0.02916831100577,0.0291671535282362,0.0274484973101464
10,0.0256451802763483,0.174373654334187,0.0291716588900525,0.0224994687485137,0.0283939592181069,0.0266190709734938,0.0266419409406398,0.0251167850844278,0.0230419756822762,0.174373654334187
20,0.174373654334187,0.0222732246847359,0.0256539074284771,0.174373654334187,0.174373654334187,0.0219086815065525,0.174373654334187,0.0225066487049821,0.0226097877585601,0.0229581208103663
30,0.174373654334187,0.174373654334187,0.174373654334187,0.022094662388566,0.0225703960841913,0.174373654334187,0.174373654334187,0.0229157052521432,0.174373654334187,0.0224379694609523
40,0.022477647733862,0.0225120337318777,0.174373654334187,0.174373654334187,0.174373654334187,0.174373654334187,0.0219918099542606,0.0224915505800052,0.174373654334187,0.0229825772371842
50,0.0218850423036088,0.174373654334187,0.0217870665355895,0.174373654334187,0.0221533189258463,0.0216529917711125,0.174373654334187,0.174373654334187,0.0220920351941115,0.0216937185874936
60,0.0214899704773213,0.174373654334187,0.021871289441323,0.0218259015009029,0.174373654334187,0.0219805304741282,0.174373654334187,0.021514875401847,0.0215075754617482,0.174373654334187
70,0.0218071405786811,0.0209951348618741,0.0218241894495773,0.174373654334187,0.0214690834756447,0.0217083690397473,0.174373654334187,0.021709522144964,0.174373654334187,0.0216492323151579
80,0.174373654334187,0.022015704509614,0.0216551523178681,0.174373654334187,0.0213402810312958,0.0213823267745286,0.0216841458482342,0.0213589929318997,0.0214479938877401,0.174373654334187
90,0.174373654334187,0.0212630679095136,0.174373654334187,0.174373654334187,0.0214772962603703,0.0214912271439955,0.021813861664499,0.174373654334187,0.0218550621157181,0.0216752569548448
100,0.0212155246853939,0.0211956619315372,0.0212583543052251,0.0211868930597003,0.0215000070326038,0.174373654334187,0.0217254837206455,0.174373654334187,0.0212321627590361,0.0214273639962764